               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.011122,           0.0053477,          0.00050823,             0.96177,             0.96583,             0.96654,             0.73919,             0.01019,           0.0039372,           0.0005208,             0.00538,             0.00538,             0.00538
                 142,            0.011155,           0.0053486,          0.00040467,              0.9649,             0.96156,             0.96782,             0.74052,             0.01019,           0.0038652,          0.00052532,            0.005347,            0.005347,            0.005347
                 143,            0.011049,           0.0052634,          0.00039897,              0.9694,              0.9605,             0.97208,             0.74653,             0.01007,           0.0038797,          0.00062423,            0.005314,            0.005314,            0.005314
                 144,            0.011068,           0.0053224,          0.00040094,             0.96512,             0.96694,             0.97354,             0.74094,              0.0103,           0.0038621,          0.00058407,            0.005281,            0.005281,            0.005281
                 145,            0.011006,           0.0052612,          0.00037356,             0.97284,              0.9587,             0.96698,             0.74197,            0.010277,           0.0040041,          0.00056675,            0.005248,            0.005248,            0.005248
                 146,            0.010814,           0.0052653,          0.00037109,              0.9708,             0.95558,             0.96964,             0.74198,            0.010079,           0.0039055,          0.00053019,            0.005215,            0.005215,            0.005215
                 147,            0.011061,           0.0054051,          0.00036828,             0.96856,             0.96286,             0.97196,             0.74679,            0.010054,           0.0038699,          0.00052095,            0.005182,            0.005182,            0.005182
                 148,            0.010573,           0.0050313,           0.0003564,             0.96683,             0.96768,              0.9718,             0.75081,            0.010134,           0.0038853,          0.00049017,            0.005149,            0.005149,            0.005149
                 149,            0.010827,           0.0052331,           0.0003455,             0.97456,             0.95965,             0.96497,             0.74629,            0.010193,           0.0039713,          0.00048989,            0.005116,            0.005116,            0.005116
                 150,            0.011013,           0.0051832,          0.00036478,              0.9701,             0.95992,             0.97226,             0.74161,            0.010208,           0.0039561,          0.00051732,            0.005083,            0.005083,            0.005083
                 151,            0.010647,           0.0052174,          0.00035822,             0.96776,             0.96652,             0.96885,             0.74525,            0.010142,           0.0039556,          0.00051044,             0.00505,             0.00505,             0.00505
                 152,            0.010749,           0.0051743,          0.00036424,              0.9692,             0.95619,             0.96572,             0.74558,            0.010102,           0.0039724,          0.00051413,            0.005017,            0.005017,            0.005017
                 153,            0.010643,           0.0051644,          0.00037162,             0.97208,             0.95332,             0.96564,             0.74202,            0.010011,           0.0039612,          0.00051072,            0.004984,            0.004984,            0.004984
                 154,            0.010794,           0.0051947,          0.00035033,             0.96955,             0.96022,             0.97059,             0.74468,            0.010054,           0.0039155,          0.00051028,            0.004951,            0.004951,            0.004951
                 155,            0.010598,           0.0050243,          0.00034284,             0.96888,             0.95987,             0.96986,             0.73779,            0.010012,           0.0039531,           0.0004785,            0.004918,            0.004918,            0.004918
